[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:33:40,088 INFO Emulation - Epoch # 94 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:33:40,944 INFO Emulation - Epoch # 95 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:33:41,796 INFO Emulation - Epoch # 96 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:33:42,650 INFO Emulation - Epoch # 97 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:33:43,505 INFO Emulation - Epoch # 98 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:33:44,365 INFO Emulation - Epoch # 99 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:33:45,226 INFO Emulation - Epoch # 100 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:33:46,090 INFO Emulation - Epoch # 101 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:33:46,953 INFO Emulation - Epoch # 102 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:33:47,824 INFO Emulation - Epoch # 103 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:33:48,688 INFO Emulation - Epoch # 104 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:33:49,552 INFO Emulation - Epoch # 105 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:33:50,410 INFO Emulation - Epoch # 106 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:33:51,274 INFO Emulation - Epoch # 107 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:33:52,139 INFO Emulation - Epoch # 108 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:33:53,002 INFO Emulation - Epoch # 109 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:33:53,867 INFO Emulation - Epoch # 110 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:33:54,733 INFO Emulation - Epoch # 111 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:33:55,618 INFO Emulation - Epoch # 112 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:33:56,542 INFO Emulation - Epoch # 113 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:33:57,574 INFO Emulation - Epoch # 114 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:33:58,603 INFO Emulation - Epoch # 115 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:33:59,629 INFO Emulation - Epoch # 116 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:34:00,657 INFO Emulation - Epoch # 117 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:34:01,680 INFO Emulation - Epoch # 118 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:34:02,707 INFO Emulation - Epoch # 119 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:34:03,729 INFO Emulation - Epoch # 120 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:34:04,747 INFO Emulation - Epoch # 121 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:34:05,765 INFO Emulation - Epoch # 122 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:34:06,783 INFO Emulation - Epoch # 123 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:34:07,801 INFO Emulation - Epoch # 124 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:34:08,818 INFO Emulation - Epoch # 125 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:34:09,833 INFO Emulation - Epoch # 126 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:34:10,849 INFO Emulation - Epoch # 127 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:34:11,861 INFO Emulation - Epoch # 128 - loss => 17.332721507910527
